chunk_size,chunk_overlap,faithfulness,answer_correctness,context_precision,context_recall
512,50,1.0,0.4863748246660516,0.9999999999,1.0
768,115,0.7777777777777778,0.5015042533069889,0.9999999999,1.0
1024,200,1.0,0.38707007701614343,0.99999999995,1.0
